annual_income,interest_rate,employment_length_years,num_delinquencies_2yr,months_since_oldest_account,num_open_accounts,loan_amount,dti_ratio,months_since_last_delinquency,pct_accounts_current,high_earner_low_stability_flag,loan_to_income_ratio,debt_servicing_stress_index,delinquency_concentration,default_flag,data_split
29401.0,21.11,3.6,7,177.0,9,16326.0,0.245,1.0,50.9,0,0.5552872351280569,5.17195,0.03954802259887006,0,train
32005.0,12.69,1.4,0,42.0,10,8293.0,0.337,105.0,93.0,0,0.25911576316200596,4.27653,0.0,0,train
26730.0,10.45,0.0,0,148.0,9,13080.0,0.124,-1.0,87.9,0,0.489337822671156,1.2957999999999998,0.0,0,train
60105.0,15.26,7.5,0,115.0,7,6752.0,0.218,58.0,96.1,0,0.1123367440312786,3.32668,0.0,1,train
112275.0,9.04,6.9,0,324.0,10,19144.0,0.195,-1.0,90.8,0,0.1705099087063015,1.7628,0.0,0,train
25010.0,16.56,4.0,1,55.0,6,22065.0,0.294,96.0,84.5,0,0.8822471011595362,4.868639999999999,0.01818181818181818,1,train
39710.0,13.22,7.9,1,281.0,6,9115.0,0.214,37.0,57.2,0,0.2295391589020398,2.8290800000000003,0.0035587188612099642,0,train
94479.0,10.11,2.3,0,156.0,8,14302.0,0.145,-1.0,93.6,0,0.1513775548005377,1.4659499999999999,0.0,0,train
49147.0,11.55,12.3,0,237.0,6,6509.0,0.137,-1.0,92.5,0,0.1324394164445439,1.5823500000000001,0.0,0,test
100583.0,8.12,3.4,0,224.0,8,11536.0,0.05,-1.0,78.4,0,0.11469134943280673,0.40599999999999997,0.0,0,train
63077.0,11.15,15.9,0,67.0,9,7612.0,0.322,-1.0,80.5,0,0.1206779016123151,3.5903,0.0,0,train
24701.0,17.6,11.1,1,213.0,9,13631.0,0.267,26.0,83.4,0,0.5518400064774706,4.6992,0.004694835680751174,0,test
25493.0,11.25,6.4,0,79.0,9,9938.0,0.22,-1.0,99.1,0,0.3898325030400502,2.475,0.0,0,train
71159.0,16.85,15.5,3,232.0,13,10180.0,0.235,6.0,80.2,0,0.14305990809314353,3.95975,0.01293103448275862,1,test
135187.0,7.66,7.2,0,31.0,5,17074.0,0.074,-1.0,77.8,0,0.12629912639528948,0.56684,0.0,0,train
93052.0,12.92,0.3,0,97.0,8,11469.0,0.125,-1.0,66.7,0,0.12325366461763315,1.615,0.0,0,train
63149.0,19.45,8.0,6,215.0,10,7438.0,0.472,1.0,57.4,0,0.11778492137642718,9.180399999999999,0.027906976744186046,0,train
96442.0,8.8,5.3,0,273.0,9,12415.0,0.117,-1.0,83.2,0,0.1287302212728894,1.0296,0.0,0,train
79292.0,13.01,4.7,3,123.0,6,15121.0,0.202,4.0,75.1,0,0.19070019674115926,2.6280200000000002,0.024390243902439025,0,train
54467.0,8.71,4.0,0,39.0,10,11131.0,0.134,-1.0,98.2,0,0.2043622744046854,1.1671400000000003,0.0,0,train
80773.0,7.21,4.4,0,92.0,12,14309.0,0.175,-1.0,72.2,0,0.17715078058262043,1.26175,0.0,0,train
66850.0,16.96,1.5,4,65.0,10,11805.0,0.385,7.0,75.2,0,0.17658937920718026,6.5296,0.06153846153846154,0,test
28852.0,13.62,0.0,1,152.0,4,7674.0,0.12,25.0,67.1,0,0.2659780951060585,1.6343999999999999,0.006578947368421052,0,train
29565.0,10.49,7.0,0,207.0,5,10423.0,0.266,-1.0,90.8,0,0.3525452393032302,2.79034,0.0,0,test
80330.0,6.08,9.0,0,155.0,5,9031.0,0.097,-1.0,85.2,0,0.11242375202290551,0.5897600000000001,0.0,0,test
22953.0,10.4,7.5,0,362.0,7,9225.0,0.174,-1.0,93.6,0,0.4019082472879362,1.8095999999999999,0.0,0,test
208740.0,8.58,3.2,0,202.0,3,14183.0,0.05,-1.0,93.4,0,0.06794576985723867,0.42900000000000005,0.0,0,train
66605.0,9.39,2.8,0,202.0,3,17208.0,0.198,-1.0,86.1,0,0.258358982058404,1.85922,0.0,0,test
76918.0,8.99,7.0,1,230.0,11,25775.0,0.174,17.0,87.2,0,0.33509711640968304,1.56426,0.004347826086956522,0,train
140149.0,8.33,7.5,0,311.0,3,15656.0,0.149,89.0,87.6,0,0.11170968041156198,1.2411699999999999,0.0,0,train
54662.0,14.8,2.6,0,55.0,4,16589.0,0.224,-1.0,91.0,0,0.3034832241776737,3.3152000000000004,0.0,0,test
52489.5,15.88,0.3,2,152.0,13,10428.0,0.182,1.0,77.7,0,0.19866830508958935,2.8901600000000003,0.013157894736842105,1,train
121653.0,9.15,2.7,0,231.0,6,11463.0,0.15,-1.0,76.3,1,0.09422702276146087,1.3725,0.0,0,train
52489.5,11.25,0.0,1,252.0,9,7444.0,0.133,46.0,82.8,0,0.1418188399584679,1.49625,0.003968253968253968,0,train
47580.0,8.05,10.8,0,259.0,11,15216.0,0.187,-1.0,88.0,0,0.3197982345523329,1.5053500000000002,0.0,0,test
60670.0,10.42,4.9,0,263.0,9,15825.0,0.14,-1.0,84.3,0,0.26083731663095433,1.4588,0.0,0,train
88518.0,8.42,4.3,2,143.0,4,9646.0,0.068,13.0,77.3,0,0.10897218644795409,0.5725600000000001,0.013986013986013986,0,train
99569.0,8.74,3.1,0,261.0,10,7963.0,0.148,-1.0,83.3,0,0.07997469091785596,1.29352,0.0,0,train
60685.0,12.4,8.0,2,132.0,9,10987.0,0.302,25.0,79.2,0,0.1810496827881684,3.7448,0.015151515151515152,0,train
104480.0,13.98,1.2,3,93.0,6,9660.0,0.16,1.0,66.2,1,0.09245788667687596,2.2368,0.03225806451612903,0,train
55059.0,11.25,10.1,0,130.0,7,9746.0,0.127,-1.0,67.9,0,0.17701011642056702,1.42875,0.0,0,test
51955.0,11.71,4.8,0,79.0,7,6437.0,0.099,-1.0,94.4,0,0.12389567895294004,1.1592900000000002,0.0,0,train
85124.0,10.41,8.4,2,306.0,9,10050.0,0.226,22.0,58.6,0,0.1180630609463841,2.35266,0.006535947712418301,0,train
54403.0,12.15,0.7,0,168.0,13,17550.0,0.142,66.0,86.4,0,0.32259250408984796,1.7252999999999998,0.0,0,train
74337.0,13.9,8.3,2,116.0,7,10096.0,0.218,5.0,84.5,0,0.13581392846092794,3.0302000000000002,0.017241379310344827,0,train
17802.0,16.94,0.0,0,68.0,6,12859.0,0.294,2.0,73.0,0,0.7223345691495338,4.98036,0.0,1,train
16717.0,15.86,5.6,0,124.0,8,4051.0,0.438,-1.0,81.9,0,0.24232816892983192,6.94668,0.0,0,test
29961.0,16.23,8.1,1,176.0,7,13055.0,0.329,1.0,82.4,0,0.43573311972230566,5.339670000000001,0.005681818181818182,0,test
17104.0,14.45,8.4,1,178.0,7,11210.0,0.326,1.0,37.4,0,0.6554022450888681,4.7107,0.0056179775280898875,1,train
30980.0,8.98,5.1,0,113.0,9,10917.0,0.153,-1.0,93.1,0,0.3523886378308586,1.37394,0.0,1,train
75583.0,12.76,11.0,0,354.0,12,7015.0,0.155,1.0,78.7,0,0.09281187568633158,1.9778,0.0,0,test
34187.0,12.32,4.9,0,224.0,6,6919.0,0.098,-1.0,95.7,0,0.20238687220288415,1.20736,0.0,0,train
140247.0,9.25,8.2,3,264.0,11,7897.0,0.073,11.0,70.9,0,0.056307799810334624,0.6752499999999999,0.011363636363636364,0,train
52489.5,11.5,0.0,0,76.0,8,7755.0,0.124,-1.0,98.3,0,0.14774383448118195,1.426,0.0,0,train
