annual_income,interest_rate,employment_length_years,num_delinquencies_2yr,months_since_oldest_account,num_open_accounts,loan_amount,dti_ratio,months_since_last_delinquency,pct_accounts_current,high_earner_low_stability_flag,loan_to_income_ratio,debt_servicing_stress_index,delinquency_concentration,default_flag,data_split,pred_prob
52489.5,13.97,1.7,2,57.0,0,14165.0,0.27,2.0,77.1,0,0.2698634965088256,3.7719000000000005,0.03508771929824561,1,test,0.707167640725896
128499.0,9.82,11.8,2,166.0,8,15518.0,0.073,1.0,80.2,0,0.1207635857088382,0.7168599999999999,0.012048192771084338,0,train,0.03354210111742346
52489.5,12.87,0.0,0,65.0,10,7319.0,0.158,67.0,82.5,0,0.13943741129178217,2.03346,0.0,0,test,0.23675135237909048
124153.0,8.87,8.7,0,248.0,8,16361.0,0.184,-1.0,91.5,0,0.1317809477016262,1.6320799999999998,0.0,0,test,0.013642289527987789
32102.0,14.6,9.7,0,167.0,12,6415.0,0.394,-1.0,91.7,0,0.19983178618154632,5.7524,0.0,0,train,0.13878904534456316
23886.0,13.08,4.7,0,114.0,15,5902.0,0.141,-1.0,85.8,0,0.24709034580926065,1.84428,0.0,0,test,0.41726732793391624
65656.0,14.27,7.9,1,291.0,10,9824.0,0.091,44.0,91.8,0,0.14962836602899962,1.29857,0.003436426116838488,0,train,0.03224758250046291
78799.0,16.43,0.0,4,357.0,8,11715.0,0.216,1.0,64.0,0,0.14866939935785986,3.54888,0.011204481792717087,0,test,0.1468617450855662
94777.0,12.57,0.5,1,99.0,10,28923.0,0.1,17.0,71.5,0,0.30516897559534484,1.2570000000000001,0.010101010101010102,1,test,0.198891445298932
54326.0,13.79,6.5,0,87.0,9,12022.0,0.221,-1.0,95.0,0,0.22129367153848986,3.04759,0.0,0,test,0.07467238955027482
90002.0,10.97,12.0,0,183.0,12,14046.0,0.142,-1.0,72.2,0,0.15606319859558676,1.55774,0.0,0,train,0.03173092030937912
85332.0,8.81,7.7,0,159.0,11,11729.0,0.139,-1.0,90.4,0,0.13745136642760042,1.2245900000000003,0.0,0,train,0.028133741690765855
59572.0,11.71,0.2,0,78.0,8,12674.0,0.359,-1.0,99.6,0,0.2127509568253542,4.20389,0.0,0,test,0.10153266853596672
29794.0,11.47,1.4,0,152.0,9,11496.0,0.154,-1.0,82.2,0,0.3858494998993086,1.76638,0.0,0,train,0.14970823810137096
105156.0,12.11,13.1,2,298.0,12,35918.0,0.243,86.0,56.4,0,0.34156871695385904,2.9427299999999996,0.006711409395973154,0,test,0.06925626678175527
59332.0,12.12,8.1,0,344.0,7,7772.0,0.312,-1.0,98.0,0,0.13099170767882423,3.78144,0.0,0,train,0.026261874622962915
53723.0,14.27,7.7,2,207.0,13,9304.0,0.144,1.0,56.2,0,0.17318466950840422,2.05488,0.00966183574879227,1,train,0.25880923719630566
49302.0,9.72,5.5,3,235.0,8,12086.0,0.099,1.0,75.7,0,0.24514218490122106,0.9622800000000001,0.01276595744680851,1,train,0.09132176390151481
30789.0,10.5,4.8,0,91.0,10,10096.0,0.502,-1.0,89.3,0,0.327909318263016,5.271,0.0,0,train,0.1655779998230464
71141.0,15.36,10.1,4,278.0,10,11847.0,0.1,1.0,35.8,0,0.1665284435135857,1.536,0.014388489208633094,0,test,0.08972567591935891
25665.0,12.99,20.4,0,325.0,10,11080.0,0.38,-1.0,98.7,0,0.4317163452172219,4.9362,0.0,0,test,0.06932927584401283
47402.0,12.1,5.2,0,75.0,11,8019.0,0.212,-1.0,66.9,0,0.16917007721193197,2.5652,0.0,0,test,0.1650788184216197
91543.0,15.52,1.1,2,222.0,5,9119.0,0.222,36.0,72.6,0,0.09961438886643435,3.44544,0.009009009009009009,0,test,0.16653851333039202
72981.0,11.7,2.1,0,109.0,8,11182.0,0.131,-1.0,95.1,0,0.1532179608391225,1.5327,0.0,0,train,0.059460680143566084
44538.0,13.43,2.6,3,59.0,9,14655.0,0.189,1.0,83.1,0,0.3290448605685033,2.53827,0.05084745762711865,1,train,0.3325612759881814
52489.5,11.65,5.4,0,275.0,8,6338.0,0.166,-1.0,74.1,0,0.12074795911563264,1.9339000000000002,0.0,0,train,0.050204481293293815
52489.5,10.48,3.6,0,31.0,6,18471.0,0.135,-1.0,99.5,0,0.3518989512188152,1.4148,0.0,0,test,0.10033370579104775
52489.5,7.83,10.3,0,41.0,9,11303.0,0.076,-1.0,93.7,0,0.21533830575638938,0.5950799999999999,0.0,0,train,0.05698791837395704
162952.0,7.78,8.6,0,284.0,16,16676.0,0.134,-1.0,59.9,0,0.10233688448131965,1.0425200000000001,0.0,0,train,0.04550992144859274
34693.0,12.5,5.3,1,228.0,9,5692.0,0.334,11.0,89.3,0,0.1640676793589485,4.175,0.0043859649122807015,0,train,0.09950521439341974
44167.0,14.31,6.8,0,168.0,5,16959.0,0.247,59.0,87.4,0,0.3839744605701089,3.53457,0.0,0,train,0.0911443043967709
31916.0,11.62,2.7,0,49.0,3,8326.0,0.261,-1.0,76.8,0,0.26087228976062166,3.03282,0.0,1,train,0.31339482739219326
135114.0,9.87,6.2,0,131.0,6,14162.0,0.241,-1.0,83.5,0,0.10481519309620024,2.3786699999999996,0.0,0,train,0.03261292742145968
78624.0,14.08,4.5,1,151.0,9,11939.0,0.266,1.0,95.6,0,0.1518493080993081,3.74528,0.006622516556291391,0,train,0.06625762933409214
30689.0,11.64,2.7,2,183.0,11,5473.0,0.35,32.0,63.6,0,0.17833751507054646,4.074,0.01092896174863388,0,test,0.3469934672500953
34266.0,13.87,10.0,2,53.0,7,8299.0,0.237,2.0,68.5,0,0.2421934278877021,3.28719,0.03773584905660377,0,train,0.4541242348834355
